Task Name,Dataset Count,Common Datasets (Top 10),Benchmarks,SOTA Metrics,Subtasks,Categories,Description (First 200 chars)
Voice Anti-spoofing,6,PartialSpoof_v1; ASVspoof 2019; PartialSpoof; Laser Data; ASVspoof 5; ReMASC,ASVspoof2019; ASVspoof 2019 - LA; ASVspoof 2019 - PA,minDCF; min a-DCF; EER; min t-dcf,N/A,Audio,Discriminate genuine speech and spoofing attacks
Audio captioning,5,Clotho; WavCaps; AudioCaps; LongVALE; MACS,Clotho; AudioCaps,SPICE; FENSE; SPIDEr; #params (M); METEOR; SPIDEr-FL; Sentence-BERT; ROUGE; ROUGE-L; CIDEr,Retrieval-augmented Few-shot In-context Audio Captioning; Zero-shot Audio Captioning,Audio,"Audio Captioning is the task of describing audio using text. The general approach is to use an audio encoder to encode the audio (example: PANN, CAV-MAE), and to use a decoder (example: transformer) t..."
Music Captioning,5,Song Describer Dataset; JamendoMaxCaps; MusicCaps; MidiCaps; YouTube8M-MusicTextClips,N/A,N/A,N/A,Music,N/A
Speaker Identification,4,FSC-P2; CSI; EVI; VoxCeleb1,EVI en-GB; VoxCeleb1; EVI fr-FR; EVI pl-PL,Accuracy; Number of Params; Top-1 (%); Top-5 (%),N/A,Speech,N/A
Speaker Separation,3,FSDnoisy18k; LibriCSS; MC_GRID,N/A,N/A,Multi-Speaker Source Separation,Speech,N/A
Multi-task Audio Source Seperation,3,MTASS; CocoChorales; Acappella,N/A,N/A,N/A,N/A,N/A
Rhythm,2,PTB-XL; Fraxtil,N/A,N/A,N/A,N/A,N/A
Piano Music Modeling,2,Niko Chord Progression Dataset; PIAST,N/A,N/A,N/A,Music,N/A
Audio Signal Processing,2,mDRT; RemFX,N/A,N/A,blind source separation; Audio Effects Modeling; Audio Compression,Audio,"This is a general task that covers transforming audio inputs into audio outputs, not limited to existing PaperWithCode categories of Source Separation, Denoising, Classification, Recognition, etc."
Voice Cloning,2,GneutralSpeech Female; GneutralSpeech Male,N/A,N/A,N/A,N/A,N/A
Drum Transcription in Music (DTM),2,YourMT3 Dataset; ENST Drums,N/A,N/A,N/A,N/A,N/A
Salt-And-Pepper Noise Removal,1,BSD,N/A,N/A,N/A,N/A,N/A
Cross-environment ASR,1,Libri-Adapt,N/A,N/A,N/A,N/A,N/A
Cross-device ASR,1,Libri-Adapt,N/A,N/A,N/A,N/A,N/A
Noise Estimation,1,SIDD,SIDD,Average KL Divergence; PSNR Gap,N/A,Medical,N/A
Audio Fingerprint,1,Fingerprint Dataset,N/A,N/A,N/A,N/A,N/A
Soundscape evaluation,1,Subjective Perception of Active Noise Reduction (SPANR),N/A,N/A,N/A,Audio,Evaluation of soundscape in accordance to ISO/TS 12913-2
"Speaker Attribution in German Parliamentary Debates (GermEval 2023, subtask 1)",1,GePaDe,GePaDe,F1,N/A,Natural Language Processing,"Subtask 1 (full task) consists of predicting the cue words that trigger a speech event, together with the associated roles and their respective labels."
"Speaker Attribution in German Parliamentary Debates (GermEval 2023, subtask 2)",1,GePaDe,GePaDe,F1,N/A,N/A,"Subtask 2 (role labelling): Given the gold cue words,  the task consists in identifying the spans for all associated roles expressed in the text, together with their respective labels."
Acoustic Modelling,1,SALMon,N/A,N/A,N/A,Speech,N/A
Speaker Profiling,1,HeightCeleb,N/A,N/A,N/A,Speech,Estimation of Physical parameters from Speech data
Recognizing Seven Different Dastgahs Of Iranian Classical Music,0,N/A,N/A,N/A,N/A,Music,N/A
Audio declipping,0,N/A,N/A,N/A,N/A,Audio,Audio declipping is the task of estimating the original audio signal given its clipped measurements.
Audio Dequantization,0,N/A,N/A,N/A,N/A,Audio,Audio Dequantization is a process of estimating the original signal from its quantized counterpart.
Speaker Orientation,0,N/A,N/A,N/A,N/A,Audio,Direction of Voice or speaker orientation of the person with respect to the target device.
Hate Speech Normalization,0,N/A,N/A,N/A,N/A,Natural Language Processing,N/A
blind source separation,0,N/A,N/A,N/A,N/A,N/A,"Blind source separation (BSS) is a signal processing technique that aims to separate multiple source signals from a set of mixed signals, without any prior knowledge about the sources or the mixing pr..."
Speech Representation Learning,0,N/A,N/A,N/A,N/A,Speech,N/A
Semi-Supervised Audio Regression,0,N/A,N/A,N/A,N/A,Audio,N/A
Speaker anonymization,0,N/A,N/A,N/A,N/A,Speech,N/A
