Parent Task,Child Tasks Count,Child Tasks,Task Depth,Categories
Pose Estimation,17,3D Human Pose Estimation; Keypoint Detection; 3D Pose Estimation; 6D Pose Estimation; Hand Pose Estimation; 6D Pose Estimation using RGB; Multi-Person Pose Estimation; Head Pose Estimation; Human Pose Forecasting; Animal Pose Estimation...,5,Computer Vision
Instance Segmentation,17,Referring Expression Segmentation; 3D Instance Segmentation; Unsupervised Object Segmentation; Real-time Instance Segmentation; Amodal Instance Segmentation; Box-supervised Instance Segmentation; Human Instance Segmentation; Image-level Supervised Instance Segmentation; Open-World Instance Segmentation; Unseen Object Instance Segmentation...,3,Computer Vision
2D Semantic Segmentation,17,Image Segmentation; Text Style Transfer; Scene Parsing; Reflection Removal; Foreground Segmentation; Continual Semantic Segmentation; Building Damage Assessment; Human Part Segmentation; Overlapped 15-1; Disjoint 15-1...,4,Audio; Adversarial; Natural Language Processing; Computer Vision
Information Extraction,16,Event Extraction; Extractive Summarization; Joint Entity and Relation Extraction; Temporal Information Extraction; Document-level Event Extraction; Attribute Value Extraction; Low Resource Named Entity Recognition; Drug–drug Interaction Extraction; Definition Extraction; Event Relation Extraction...,2,Medical; Natural Language Processing
Text Classification,16,Document Classification; Topic Models; Emotion Classification; Sentence Classification; Multi-Label Text Classification; Few-Shot Text Classification; Text Categorization; Semi-Supervised Text Classification; Coherence Evaluation; Toxic Comment Classification...,2,Natural Language Processing
Autonomous Vehicles,15,Autonomous Driving; Autonomous Navigation; Self-Driving Cars; Simultaneous Localization and Mapping; Pedestrian Detection; Lane Detection; Traffic Signal Control; Traffic Sign Recognition; Pedestrian Attribute Recognition; Loop Closure Detection...,3,Robots; Computer Code; Computer Vision
Relation Extraction,15,Relation Classification; Document-level Relation Extraction; Joint Entity and Relation Extraction; Temporal Relation Extraction; Dialog Relation Extraction; Relationship Extraction (Distant Supervised); Continual Relation Extraction; Binary Relation Extraction; Zero-shot Relation Triplet Extraction; 4-ary Relation Extraction...,2,Natural Language Processing
Action Recognition,15,Action Recognition In Videos; 3D Action Recognition; Self-Supervised Action Recognition; Few Shot Action Recognition; Fine-grained Action Recognition; Action Triplet Recognition; Self-Supervised Human Action Recognition; Open Set Action Recognition; Micro-Action Recognition; Weakly-Supervised Action Recognition...,3,Time Series; Computer Vision
Speech Synthesis,15,Expressive Speech Synthesis; Emotional Speech Synthesis; Speech Synthesis - Gujarati; text-to-speech translation; Speech Synthesis - Tamil; Speech Synthesis - Kannada; Speech Synthesis - Malayalam; Speech Synthesis - Telugu; Speech Synthesis - Assamese; Speech Synthesis - Bengali...,1,Audio; Speech
2D Object Detection,15,Object Detection; Edge Detection; Thermal Image Segmentation; Semi-Supervised Object Detection; Novel Object Detection; Long-tailed Object Detection; Hand Detection; medical image detection; Vessel Detection; Drivable Area Detection...,3,Methodology; Computer Vision
Representation Learning,14,Disentanglement; Graph Representation Learning; Sentence Embeddings; Network Embedding; Knowledge Graph Embeddings; Document Embedding; Learning Word Embeddings; Feature Upsampling; Learning Semantic Representations; Multilingual Word Embeddings...,3,Methodology; Natural Language Processing; Computer Vision
Domain Adaptation,13,Unsupervised Domain Adaptation; Domain Generalization; Test-time Adaptation; Source-Free Domain Adaptation; Universal Domain Adaptation; Partial Domain Adaptation; Online Domain Adaptation; Continuously Indexed Domain Adaptation; Prompt-driven Zero-shot Domain Adaptation; Blended-target Domain Adaptation...,3,Methodology; Computer Vision
Person Re-Identification,13,Unsupervised Person Re-Identification; Video-Based Person Re-Identification; Generalizable Person Re-identification; Occluded Person Re-Identification; Cloth-Changing Person Re-Identification; Clothes Changing Person Re-Identification; Large-Scale Person Re-Identification; Cross-Modal  Person Re-Identification; Self-Supervised Person Re-Identification; Image-To-Video Person Re-Identification...,1,Computer Vision
Named Entity Recognition (NER),13,NER; Nested Named Entity Recognition; Few-shot NER; Chinese Named Entity Recognition; Multilingual Named Entity Recognition; Medical Named Entity Recognition; Cross-Domain Named Entity Recognition; Zero-shot Named Entity Recognition (NER); Multi-modal Named Entity Recognition; Named Entity Recognition In Vietnamese...,1,Natural Language Processing
Electrocardiography (ECG),13,Mortality Prediction; ECG Classification; Arrhythmia Detection; Heart Rate Variability; Heartbeat Classification; ECG Denoising; Myocardial infarction detection; QRS Complex Detection; ECG Wave Delineation; Ventricular fibrillation detection...,4,Methodology; Medical
Image Restoration,13,Demosaicking; Blind Super-Resolution; Spectral Reconstruction; Underwater Image Restoration; Flare Removal; JPEG Artifact Removal; JPEG Artifact Correction; Unified Image Restoration; highlight removal; Single Image Desnowing...,2,Computer Vision
Few-Shot Learning,12,One-Shot Learning; Few-Shot Semantic Segmentation; Cross-Domain Few-Shot; Unsupervised Few-Shot Learning; Few-Shot Relation Classification; Few-Shot Imitation Learning; Few-Shot Audio Classification; Few-Shot Camera-Adaptive Color Constancy; Few-shot HTC; Few-Shot Video Object Detection...,2,Methodology; Audio; Natural Language Processing; Computer Vision
Emotion Recognition,12,Speech Emotion Recognition; Emotion Recognition in Conversation; Multimodal Emotion Recognition; Facial Emotion Recognition; Emotion-Cause Pair Extraction; EEG Emotion Recognition; Emotion Cause Extraction; Video Emotion Recognition; Emotion Recognition in Context; A-VB High...,2,Audio; Speech; Natural Language Processing; Miscellaneous; Computer Vision
Sentiment Analysis,12,Aspect-Based Sentiment Analysis (ABSA); Multimodal Sentiment Analysis; Aspect Sentiment Triplet Extraction; Twitter Sentiment Analysis; Aspect Term Extraction and Sentiment Classification; Arabic Sentiment Analysis; Persian Sentiment Analysis; target-oriented opinion words extraction; Fine-Grained Opinion Analysis; Vietnamese Aspect-Based Sentiment Analysis...,3,Natural Language Processing; Computer Vision
Text Summarization,12,Abstractive Text Summarization; Document Summarization; Multi-Document Summarization; Opinion Summarization; Extractive Text Summarization; Sentence Compression; Sentence Summarization; Scientific Document Summarization; Unsupervised Opinion Summarization; Long-Form Narrative Summarization...,2,Knowledge Base; Natural Language Processing
Time Series Analysis,12,Time Series Forecasting; Time Series Prediction; Model Optimization; Data Compression; Time Series Anomaly Detection; Time Series Clustering; Time Series Regression; Time Series Alignment; Semi-supervised time series classification; Time Series Averaging...,3,Time Series
Class-Incremental Semantic Segmentation,12,Overlapped 10-1; Overlapped 15-5; Overlapped 15-1; Disjoint 15-1; Disjoint 15-5; Overlapped 100-5; Disjoint 10-1; Overlapped 100-50; Overlapped 50-50; Overlapped 100-10...,1,Computer Vision
"1 Image, 2*2 Stitchi",12,Pose Estimation; Style Transfer; Text-to-Image Generation; Music Generation; Voice Conversion; Image Deblurring; Virtual Try-on; Talking Face Generation; Image to Video Generation; Pneumonia Detection...,6,Audio; Time Series; Reasoning; Music; Speech; Natural Language Processing; Medical; Robots; Knowledge Base; Computer Vision
Image-to-Image Translation,11,Unsupervised Image-To-Image Translation; Synthetic-to-Real Translation; Multimodal Unsupervised Image-To-Image Translation; Image-to-Image Regression; Cross-View Image-to-Image Translation; Fundus to Angiography Generation; Facial Makeup Transfer; Virtual Try-Off; Real-to-Cartoon translation; Photo-To-Caricature Translation...,2,Computer Vision
Speech Recognition,11,Automatic Speech Recognition (ASR); Visual Speech Recognition; Robust Speech Recognition; Target Speaker Extraction; Distant Speech Recognition; Automatic Lyrics Transcription; Sequence-To-Sequence Speech Recognition; Accented Speech Recognition; Noisy Speech Recognition; Speech Language Identification...,3,Audio; Speech
Activity Recognition,11,Action Recognition; Human Activity Recognition; Group Activity Recognition; Egocentric Activity Recognition; Multimodal Activity Recognition; Human action generation; Cross-Domain Activity Recognition; Recognizing And Localizing Human Actions; Stay Region Extraction; Concurrent Activity Recognition...,4,Robots; Time Series; Computer Vision
Recommendation Systems,11,Graph Neural Network; Sequential Recommendation; Session-Based Recommendations; Multimodal Recommendation; Multi-modal Recommendation; Multimedia recommendation; Interactive Recommendation; Knowledge-Aware Recommendation; Multibehavior Recommendation; Multi-Media Recommendation...,1,Knowledge Base; Graphs; Miscellaneous
Optical Character Recognition (OCR),10,Active Learning; Handwritten Text Recognition; Handwriting Recognition; Handwritten Digit Recognition; Irregular Text Recognition; Handwritten Chinese Text Recognition; Offline Handwritten Chinese Character Recognition; Word Spotting In Handwritten Documents; Handwritten Digit Image Synthesis; Grapheme Detection,2,Methodology; Natural Language Processing; Computer Vision
Depth Estimation,10,Monocular Depth Estimation; Stereo Depth Estimation; Depth And Camera Motion; 3D Depth Estimation; Depth Map Super-Resolution; Stereo-LiDAR Fusion; Indoor Monocular Depth Estimation; Depth Aleatoric Uncertainty Estimation; Depth Image Upsampling; Bathymetry prediction,2,Computer Vision
Cancer,10,Breast Cancer Detection; Lung Cancer Diagnosis; Skin Cancer Classification; Breast Cancer Histology Image Classification; Classification Of Breast Cancer Histology Images; Respiratory motion forecasting; Prediction Of Cancer Cell Line Sensitivity; Oral Cancer Classification; Discovery Of Integrative Cancer Subtypes; Colon Cancer Detection In Confocal Laser Microscopy Images,2,Medical; Knowledge Base; Computer Vision
Image Enhancement,10,Low-Light Image Enhancement; UIE; Image Relighting; De-aliasing; Document Enhancement; Color Manipulation; Local Color Enhancement; wavelet structure similarity loss; Film Simulation; Vignetting Removal,1,Computer Vision
Machine Translation,10,Transliteration; Multimodal Machine Translation; Bilingual Lexicon Induction; Unsupervised Machine Translation; Low-Resource Neural Machine Translation; Automatic Post-Editing; Low Resource Neural Machine Translation; Low Resource NMT; Clinical Language Translation; Legal Document Translation,2,Natural Language Processing
Object Tracking,10,Multi-Object Tracking; Visual Object Tracking; Multiple Object Tracking; Video Object Tracking; Cell Tracking; Online Multi-Object Tracking; Thermal Infrared Object Tracking; Sports Ball Detection and Tracking; Pupil Tracking; Amodal Tracking,3,Computer Vision
Image Retrieval,10,Sketch-Based Image Retrieval; Content-Based Image Retrieval; Medical Image Retrieval; Composed Image Retrieval (CoIR); Multi-Label Image Retrieval; Face Image Retrieval; Video-to-Shop; Image Instance Retrieval; Semi-Supervised Sketch Based Image Retrieval; Chat-based Image Retrieval,2,Computer Vision
3D Human Pose Estimation,9,Pose Prediction; Monocular 3D Human Pose Estimation; 3D Multi-Person Pose Estimation; 3D human pose and shape estimation; Weakly-supervised 3D Human Pose Estimation; Multi-Hypotheses 3D Human Pose Estimation; Egocentric Pose Estimation; 3D Absolute Human Pose Estimation; Global 3D Human Pose Estimation,4,Computer Vision
Visual Question Answering (VQA),9,Visual Question Answering; Machine Reading Comprehension; Chart Understanding; Chart Question Answering; 3D Question Answering (3D-QA); Embodied Question Answering; Generative Visual Question Answering; Factual Visual Question Answering; Multimodal Colonoscopy,3,Natural Language Processing; Computer Vision
Scene Parsing,9,Scene Understanding; Scene Graph Generation; Scene Text Recognition; Scene Recognition; Face Parsing; Indoor Scene Synthesis; Indoor Scene Reconstruction; Scene Labeling; Street Scene Parsing,3,Computer Vision
Temporal Action Localization,8,Weakly-supervised Temporal Action Localization; 3D Action Recognition; Weakly Supervised Action Localization; Temporal Action Proposal Generation; Activity Recognition In Videos; Action Recognition In Still Images; Open-vocab Temporal Action Detection; Temporal Group Activity Localization,4,Computer Vision
Sleep Quality,8,Sleep Stage Detection; Spindle Detection; Sleep apnea detection; Multimodal Sleep Stage Detection; Sleep Micro-event detection; Sleep Arousal Detection; K-complex detection; Sleep Quality Prediction,3,Medical
Remote Sensing,8,Remote Sensing Image Classification; Change detection for remote sensing images; Building change detection for remote sensing images; Segmentation Of Remote Sensing Imagery; The Semantic Segmentation Of Remote Sensing Imagery; Extracting Buildings In Remote Sensing Images; Lake Detection; Denoising Of Radar Micro-Doppler Signatures,2,Methodology; Miscellaneous; Computer Vision
Action Detection,8,Skeleton Based Action Recognition; Human Activity Recognition; Online Action Detection; Audio-Visual Active Speaker Detection; Fine-Grained Action Detection; Action Triplet Detection; Few Shot Temporal Action Localization; Multiple Action Detection,2,Time Series; Computer Vision
Image Captioning,8,3D dense captioning; controllable image captioning; Relational Captioning; Semi Supervised Learning for Image Captioning; Aesthetic Image Captioning; Vietnamese Image Captioning; Patent Figure Description Generation; Hindi Image Captioning,2,Natural Language Processing; Computer Vision
Aspect-Based Sentiment Analysis (ABSA),8,Aspect Extraction; Aspect Category Sentiment Analysis; Extract Aspect; Aspect-oriented  Opinion Extraction; Aspect-Category-Opinion-Sentiment Quadruple Extraction; Extract aspect-polarity tuple; Aspect-Sentiment-Opinion Triplet Extraction; Aspect Category Sentiment Classification,2,Natural Language Processing
Super-Resolution,7,Image Super-Resolution; Video Super-Resolution; Reference-based Super-Resolution; Depth Map Super-Resolution; Image Rescaling; Reference-based Video Super-Resolution; 3D Object Super-Resolution,3,Graphs; Computer Vision
Electroencephalogram (EEG),7,EEG; Eeg Decoding; EEG Denoising; Attention Score Prediction; Noise Level Prediction; Semanticity prediction; LWR Classification,2,Methodology; Medical; Time Series
X-Ray,7,Low-Dose X-Ray Ct Reconstruction; Bone Suppression From Dual Energy Chest X-Rays; Medical X-Ray Image Segmentation; Joint Vertebrae Identification And Localization In Spinal Ct Images; Finding Pulmonary Nodules In Large-Scale Ct Images; Mapping Of Lung Nodules In Low-Dose Ct Images; Cbct Artifact Reduction,1,Medical
Video Understanding,7,Video Quality Assessment; Anomaly Detection In Surveillance Videos; Video Alignment; Temporal Sentence Grounding; Streaming video understanding; Causal Discovery in Video Reasoning; Long-video Activity Recognition,1,Computer Vision
Data Mining,7,Argument Mining; Opinion Mining; cognitive diagnosis; Subgroup Discovery; Sequential Pattern Mining; Parallel Corpus Mining; CSV dialect detection,2,Methodology; Natural Language Processing; Computer Code
Image Quality Assessment,7,No-Reference Image Quality Assessment; Full reference image quality assessment; Full-Reference Image Quality Assessment; Aesthetics Quality Assessment; Stereoscopic image quality assessment; Image Quality Estimation; Document Image Quality Assessment,2,Computer Vision
3D Reconstruction,7,Point cloud reconstruction; 3D Semantic Scene Completion; Garment Reconstruction; 3D Room Layouts From A Single RGB Panorama; Unsupervised 3D Human Pose Estimation; 3D Shape Reconstruction from Videos; 3D Wireframe Reconstruction,3,Methodology; Computer Vision
Zero-Shot Learning,7,Temporal Action Localization; Generalized Zero-Shot Learning; Compositional Zero-Shot Learning; Multi-label zero-shot learning; GZSL Video Classification; Transductive Zero-Shot Classification; Zero-shot gesture recognition,5,Methodology; Computer Vision
Semantic Parsing,7,Text-To-SQL; AMR Parsing; Semantic Dependency Parsing; DRS Parsing; UCCA Parsing; text-to-Cypher; Unsupervised semantic parsing,2,Natural Language Processing
Video Object Segmentation,7,Semi-Supervised Video Object Segmentation; Unsupervised Video Object Segmentation; Referring Video Object Segmentation; Video Salient Object Detection; Interactive Video Object Segmentation; Video Shadow Detection; Long-tail Video Object Segmentation,2,Computer Vision
Text-to-Image Generation,7,text-guided-image-editing; Text-based Image Editing; Concept Alignment; Zero-Shot Text-to-Image Generation; Conditional Text-to-Image Synthesis; Consistent Character Generation; DreamBooth Personalized Generation,1,Natural Language Processing; Computer Vision
Graph Property Prediction,7,SAXS regression; XRD regression; X-ray PDF regression; SANS regression; ND regression; Neutron PDF regression; Neutron PDF,1,Graphs
Mathematical Reasoning,7,Math Word Problem Solving; Formal Logic; Geometry Problem Solving; Abstract Algebra; Mathematical Induction; High School Mathematics; Professional Accounting,1,Knowledge Base; Natural Language Processing; Reasoning
General Knowledge,7,Natural Questions; TriviaQA; Miscellaneous; Movie Recommendation; Sports Understanding; Similarities Abstraction; Global Facts,1,Miscellaneous
Link Prediction,6,Inductive Link Prediction; Dynamic Link Prediction; Hyperedge Prediction; Calibration for Link Prediction; Anchor link prediction; Link prediction on DH-KGs,1,Graphs; Natural Language Processing
Style Transfer,6,Image Stylization; Style Generalization; Font Style Transfer; Face Transfer; Reverse Style Transfer; Serial Style Transfer,2,Computer Vision
Multi-Object Tracking,6,3D Multi-Object Tracking; Real-Time Multi-Object Tracking; Referring Multi-Object Tracking; Multi-Animal Tracking with identification; Grounded Multiple Object Tracking; Trajectory Long-tail Distribution for Muti-object Tracking,2,Computer Vision
Time Series Forecasting,6,Multivariate Time Series Forecasting; Probabilistic Time Series Forecasting; Univariate Time Series Forecasting; New Product Sales Forecasting; Correlated Time Series Forecasting; COVID-19 Tracking,2,Time Series
Language Modelling,6,XLM-R; Long-range modeling; Protein Language Model; Sentence Pair Modeling; Cross-Document Language Modeling; Controllable Language Modelling,3,Medical; Natural Language Processing; Miscellaneous
Hand,6,Hand Pose Estimation; Hand Gesture Recognition; Hand-Gesture Recognition; Hand Segmentation; Gesture-to-Gesture Translation; Hand Keypoint Localization,4,Computer Vision
Video Captioning,6,Dense Video Captioning; Boundary Captioning; Live Video Captioning; Visual Text Correction; Audio-Visual Video Captioning; Video Boundary Captioning,2,Computer Vision
Denoising,6,Image Denoising; Color Image Denoising; Sar Image Despeckling; Grayscale Image Denoising; Salt-And-Pepper Noise Removal; 3D Mesh Denoising,2,Computer Vision
3D Action Recognition,6,Skeleton Based Action Recognition; Model Editing; Image Manipulation Detection; motion retargeting; Zero Shot Skeletal Action Recognition; Generalized Zero Shot skeletal action recognition,2,Natural Language Processing; Computer Vision
Video Games,6,Atari Games; Starcraft II; Real-Time Strategy Games; Dota 2; FPS Games; SNES Games,2,Playing Games
Face Recognition,6,Face Image Quality Assessment; Lightweight Face Recognition; Synthetic Face Recognition; Age-Invariant Face Recognition; Face Quality Assessement; Unsupervised face recognition,2,Methodology; Computer Vision
Autonomous Driving,6,Motion Forecasting; Bench2Drive; NavSim; CARLA MAP Leaderboard; 3D Pedestrian Tracking; Dead-Reckoning Prediction,2,Robots; Miscellaneous; Computer Vision
Information Retrieval,6,Passage Retrieval; TAR; Cross-Lingual Information Retrieval; Table Search; Scientific Results Extraction; Zero Shot on BEIR (Inference Free Model),1,Natural Language Processing
Scene Understanding,6,Video Semantic Segmentation; Visual Relationship Detection; Lighting Estimation; 3D Room Layouts From A Single RGB Panorama; road scene understanding; Outdoor Light Source Estimation,2,Computer Vision
Program Repair,6,Fault localization; Variable misuse; Exception type; Function-docstring mismatch; Wrong binary operator; Swapped operands,1,Computer Code; Reasoning
Table annotation,6,Column Type Annotation; Cell Entity Annotation; Columns Property Annotation; Table Type Detection; Row Annotation; Metric-Type Identification,1,Knowledge Base; Natural Language Processing
Argument Mining,6,Key Point Matching; Component Classification; Argument Pair Extraction (APE); Claim Extraction with Stance Classification (CESC); Claim-Evidence Pair Extraction (CEPE); ValNov,1,Natural Language Processing
2D Human Pose Estimation,6,Articles; Style Transfer; Community Question Answering; Action Anticipation; 3D Face Animation; Semi-Supervised Human Pose Estimation,3,Knowledge Base; Reasoning; Computer Vision
Reinforcement Learning (RL),6,Off-policy evaluation; Multi-Objective Reinforcement Learning; 3D Point Cloud Reinforcement Learning; RoomEnv-v1; RoomEnv-v0; RoomEnv-v2,1,Methodology; Knowledge Base; Computer Code; Computer Vision
Binary Classification,6,"LLM-generated Text Detection; Cancer-no cancer per image classification; Cancer-no cancer per breast classification; Suspicous (BIRADS 4,5)-no suspicous (BIRADS 1,2,3) per image classification; Stable MCI vs Progressive MCI; Cancer-no cancer per view classification",1,Natural Language Processing; Computer Vision
16k,6,Object Detection; Image Super-Resolution; Image Deblurring; Scene Generation; Shadow Removal; Highlight Detection,3,Methodology; Miscellaneous; Playing Games; Medical; Computer Vision
Code Generation,5,Code Translation; Code Documentation Generation; GitHub issue resolution; Class-level Code Generation; Library-Oriented Code Generation,2,Natural Language Processing; Computer Code; Reasoning
Knowledge Graphs,5,Knowledge Graph Completion; Complex Query Answering; Open Knowledge Graph Canonicalization; Relational Pattern Learning; Person-Centric Knowledge Graphs,4,Knowledge Base; Graphs
Chinese,5,Chinese Word Segmentation; Handwritten Chinese Text Recognition; Offline Handwritten Chinese Character Recognition; Chinese Zero Pronoun Resolution; Chinese Spelling Error Correction,1,Natural Language Processing
Electromyography (EMG),5,EMG Gesture Recognition; ALS Detection; EMG Signal Prediction; Medial knee JRF Prediction; Muscle Force Prediction,1,Medical
Medical Diagnosis,5,Alzheimer's Disease Detection; Retinal OCT Disease Classification; Thoracic Disease Classification; Blood Cell Count; CBC TEST,1,Medical; Computer Vision
Object Localization,5,Weakly-Supervised Object Localization; Image-Based Localization; Unsupervised Object Localization; Monocular 3D Object Localization; Active Object Localization,1,Computer Vision
Dependency Parsing,5,Transition-Based Dependency Parsing; Prepositional Phrase Attachment; Unsupervised Dependency Parsing; Dependency Grammar Induction; Cross-lingual zero-shot dependency parsing,1,Natural Language Processing
Robot Navigation,5,Social Navigation; PointGoal Navigation; Sequential Place Learning; ObjectGoal Navigation; VNLA,2,Robots; Computer Vision
Program Synthesis,5,Program Repair; Type prediction; Value prediction; Enumerative Search; SQL Synthesis,2,Computer Code; Reasoning
Image Reconstruction,5,MRI Reconstruction; CT Reconstruction; Blind Super-Resolution; Film Removal; WiFi CSI-based Image Reconstruction,3,Medical; Miscellaneous; Computer Vision
Graph Embedding,5,Knowledge Graph Embedding; Knowledge Graph Embeddings; Dynamic graph embedding; Structural Node Embedding; Role Embedding,2,Graphs
Face Generation,5,Talking Head Generation; Talking Face Generation; Facial expression generation; Face Age Editing; Kinship face generation,2,Computer Vision
Facial Expression Recognition (FER),5,Cross-corpus; Micro-Expression Recognition; Micro-Expression Spotting; 3D Facial Expression Recognition; Smile Recognition,1,Computer Vision
DeepFake Detection,5,Audio Deepfake Detection; Synthetic Speech Detection; Human Detection of Deepfakes; Multimodal Forgery Detection; diffusion-generated faces detection,1,Audio; Speech; Miscellaneous; Computer Vision
3D Semantic Segmentation,5,Robust 3D Semantic Segmentation; Real-Time 3D Semantic Segmentation; Unsupervised 3D Semantic Segmentation; furniture segmentation; 3D Point Cloud Part Segmentation,1,Computer Vision
Image Super-Resolution,5,Multi-Frame Super-Resolution; Stereo Image Super-Resolution; Burst Image Super-Resolution; satellite image super-resolution; Multispectral Image Super-resolution,2,Computer Vision
Node Classification,5,Graph structure learning; Node Classification on Non-Homophilic (Heterophilic) Graphs; Heterogeneous Node Classification; Dynamic Node Classification; Atomic number classification,1,Graphs
Continual Learning,5,Class Incremental Learning; Continual Named Entity Recognition; unsupervised class-incremental learning; Continual Panoptic Segmentation; TiROD,3,Methodology; Natural Language Processing; Computer Vision
3D Object Detection,5,Monocular 3D Object Detection; Robust 3D Object Detection; Multiview Detection; 3D Object Detection From Stereo Images; Robust BEV Detection,1,Computer Vision
