Task Name,Parent Task,Level,Dataset Count,Description,Benchmarks,Metrics,Children Count
Stochastic Optimization,,0,11,,AG News; CIFAR-10 WRN-28-10 - 200 Epochs; CIFAR-10 ResNet-18 - 200 Epochs; ImageNet ResNet-50 - 60 Epochs; Penn Treebank (Character Level) 3x1000 LSTM - 500 Epochs; CIFAR-100; CoLA; CIFAR-10; CIFAR-100 WRN-28-10 - 200 Epochs; MNIST,,0
Unsupervised Person Re-Identification,,0,11,,,,0
Adversarial Attack,,0,11,,CIFAR-10; WSJ0-2mix; CIFAR-100,,0
Virtual Try-on,,0,11,,MPV; Microsoft COCO dataset; StreetTryOn; Deep-Fashion; Dress Code; UBC Fashion Videos; VITON-HD; VITON; FashionIQ,,0
Federated Learning,,0,11,,"CIFAR-100 (alpha=0, 10 clients per round); Landmarks-User-160k; CIFAR-100 (alpha=1000, 10 clients per round); Cityscapes heterogeneous; CIFAR-100 (alpha=1000, 20 clients per round); CIFAR100 (alpha=0.3, 10 clients per round); CIFAR-100 (alpha=1000, 5 clients per round); CIFAR-100 (alpha=0, 20 clients per round); CIFAR-100 (alpha=0.5, 10 clients per round); CIFAR-100 (alpha=0.5, 5 clients per round)",,0
Continuous Control,,0,10,,"Simple Humanoid; Swimmer + Gathering; hopper.hop; walker.stand; Lunar Lander (OpenAI Gym); Ball in cup, catch (DMControl100k); quadruped.walk; Full Humanoid; Ant + Gathering; Cheetah, run (DMControl500k)",,0
Graph Learning,,0,10,,CAMELS,,0
Automatic Post-Editing,,0,10,,,,0
Person Identification,,0,10,,WiGesture; BioEye; EEG Motor Movement/Imagery Dataset,,0
Benchmarking,,0,10,,Wiki-40B; CloudEval-YAML,,0
Table annotation,,0,10,,,,0
Column Type Annotation,,0,10,,,,0
Time Series Regression,,0,10,,USNA-Cn2 (long-term); MLO-Cn2; FinSen; USNA-Cn2 (short-duration),,0
Homography Estimation,,0,9,,,,0
Reinforcement Learning,,0,9,,Time Pilot; Venture; Boss Level; Frostbite; Ice Hockey; Stick Push; Unblock Pickup; ATLANTIS; Demon Attack; Tutankham,,0
AutoML,,0,9,,Wine; Breast Cancer Coimbra Data Set; OrdinalDataset; Chalearn-AutoML-1,,0
Shadow Removal,,0,9,,INS Dataset; ISTD+; SRD; WSRD+; ISTD; ^(#$!@#$)(()))******,,0
Program Repair,,0,9,,GitHub-Python; TFix's Code Patches Data; HumanEvalPack; DeepFix,,0
Learning-To-Rank,,0,9,,,,0
Multi-agent Reinforcement Learning,,0,9,,SMAC-Exp; UAV Logistics; ParticleEnvs Cooperative Communication,,0
Representation Learning,,0,9,,CIFAR10; Sports10; Animals-10; SciDocs; Circle Data,,0
Code Repair,,0,9,,CodeXGLUE - Bugs2Fix,,0
Multi-Label Learning,,0,8,,COCO 2014,,0
Lipreading,,0,8,,LRS2; GRID corpus (mixed-speech); CMLR; CAS-VSR-S101; Lip Reading in the Wild; LRW-1000; CAS-VSR-W1k (LRW-1000); LRS3-TED,,0
Incremental Learning,,0,8,,ImageNet-100 - 50 classes + 50 steps of 1 class; CIFAR100-B0(10steps of 10 classes); CIFAR-100 - 50 classes + 5 steps of 10 classes; ImageNet-100 - 50 classes + 25 steps of 2 classes; ImageNet - 500 classes + 25 steps of 20 classes; MLT17; CIFAR-100-B0(5steps of 20 classes); ImageNet - 10 steps; ImageNet - 500 classes + 5 steps of 100 classes; ImageNet-100 - 50 classes + 5 steps of 10 classes,,0
Multivariate Time Series Imputation,,0,8,,,,0
Correlated Time Series Forecasting,,0,8,,,,0
Disaster Response,,0,8,,,,0
Automated Theorem Proving,,0,8,,HolStep (Unconditional); miniF2F-valid; miniF2F-test; Metamath set.mm; CoqGym; HOList benchmark; miniF2F-curriculum; HolStep (Conditional); CompCert,,0
Starcraft,,0,8,,,,0
Heart rate estimation,,0,8,,,,0
Explainable artificial intelligence,,0,8,,,,0
AI Agent,,0,8,,,,0
GLinear,,0,7,,,,0
Argument Mining,,0,7,,TACO -- Twitter Arguments from COnversations,,0
Driver Attention Monitoring,,0,7,,,,0
Point Processes,,0,7,,MIMIC-II; MemeTracker; Amazon MTPP; Stackoverflow; Retweet MTPP; RETWEET; StackOverflow MTPP; AgeGroup Transactions MTPP,,0
Offline RL,,0,7,,D4RL; Walker2d,,0
Rain Removal,,0,7,,DID-MDN; Nightrain,,0
Unsupervised Pre-training,,0,7,,UCI measles; Measles,,0
Robot Task Planning,,0,7,,SheetCopilot; PackIt,,0
Data Integration,,0,7,,,,0
Within-Session SSVEP,,0,7,,,,0
RAG,,0,7,,,,0
Personalized Federated Learning,,0,6,,,,0
Phrase Grounding,,0,6,,ReferIt; Flickr30k; Flickr30k Entities Dev; Flickr30k Entities Test; Visual Genome,,0
Lip Reading,,0,6,,GRID corpus (mixed-speech); TCD-TIMIT corpus (mixed-speech); LRW,,0
Explanation Fidelity Evaluation,,0,6,,,,0
Collaborative Filtering,,0,6,,Yelp2018; Gowalla; MovieLens 1M; Amazon-Book,,0
Graph Mining,,0,6,,,,0
Band Gap,,0,6,,,,0
Feature Importance,,0,6,,Breastcancer; Digits; iris; boston; Diabetes; Wine,,0
Graph Representation Learning,,0,6,,COMA,,0
Univariate Time Series Forecasting,,0,6,,,,0
Bandwidth Extension,,0,6,,,,0
Atari Games,,0,6,,Atari 2600 Gopher; Atari 2600 Berzerk; Atari 2600 Pooyan; Atari 2600 Elevator Action; Atari 2600 Fishing Derby; Atari 2600 Defender; Atari 2600 Up and Down; Atari 2600 Seaquest; Atari 2600 Pitfall!; Atari 2600 Tennis,,0
Starcraft II,,0,6,,,,0
Goal-Oriented Dialog,,0,6,,Kvret,,0
Probabilistic Deep Learning,,0,6,,,,0
16k,,0,6,,ConceptNet,,0
Open Set Learning,,0,6,,,,0
Explainable Artificial Intelligence (XAI),,0,6,,ADNI,,0
Cross-Modal Person Re-Identification,,0,6,,,,0
Protein Design,,0,6,,CATH 4.3; CATH 4.2,,0
Math,,0,6,,,,0
Core set discovery,,0,5,,Kr-vs-kp; Credit-g; Mozilla4; Amazon-employee-access; Abalone; Soybean; ISOLET; Letter; JM1; Electricity,,0
Adversarial Defense,,0,5,,"ImageNet (non-targeted PGD, max perturbation=4); CAAD 2018; CIFAR-100; CIFAR-10; ImageNet; ImageNet (targeted PGD, max perturbation=16); miniImageNet; MNIST; TrojAI Round 1; TrojAI Round 0",,0
Network Pruning,,0,5,,CIFAR-100; ImageNet - ResNet 50 - 90% sparsity; CIFAR-10; ImageNet; MNIST,,0
Linguistic Acceptability,,0,5,,DaLAJ; CoLA; CoLA Dev; ItaCoLA; RuCoLA,,0
Chunking,,0,5,,Penn Treebank; CoNLL 2000; CoNLL 2003 (English); CoNLL 2003 (German); CoNLL 2003,,0
Point Cloud Completion,,0,5,,Completion3D; ShapeNet; ShapeNet-ViPC,,0
Region Proposal,,0,5,,,,0
Clustering,,0,5,,,,0
Complex Query Answering,,0,5,,,,0
Arousal Estimation,,0,5,,,,0
Valence Estimation,,0,5,,,,0
Handwriting Verification,,0,5,,AND Dataset; CEDAR Signature,,0
Gaussian Processes,,0,5,,UCI POWER,,0
Network Embedding,,0,5,,,,0
Real-Time Strategy Games,,0,5,,,,0
Color Constancy,,0,5,,INTEL-TUT2,,0
Feature Engineering,,0,5,,2019_test set,,0
Time Series Clustering,,0,5,,eICU Collaborative Research Database,,0
Causal Discovery,,0,5,,,,0
Physics-informed machine learning,,0,5,,,,0
SSTOD,,0,5,,,,0
Natural Questions,,0,5,,,,0
College Mathematics,,0,5,,,,0
Elementary Mathematics,,0,5,,,,0
Uncertainty Quantification,,0,5,,,,0
Intelligent Communication,,0,5,,,,0
Occlusion Handling,,0,5,,,,0
PDE Surrogate Modeling,,0,5,,,,0
AI and Safety,,0,5,,,,0
POS,,0,4,,,,0
One-Shot Learning,,0,4,,MNIST,,0
Fill Mask,,0,4,,,,0
Dense Pixel Correspondence Estimation,,0,4,,TSS; HPatches; KITTI 2015; ETH3D; KITTI 2012,,0
Interpretable Machine Learning,,0,4,,CUB-200-2011,,0
Long-tail learning with class descriptors,,0,4,,,,0
FG-1-PG-1,,0,4,,,,0
Partial Label Learning,,0,4,,CIFAR-100 (partial ratio 0.1); M-VAD Names; CIFAR-100 (partial ratio 0.01); CIFAR-10 (partial ratio 0.3); Caltech-UCSD Birds 200 (partial ratio 0.05); CIFAR-10 (partial ratio 0.5); ISIC 2019; CIFAR-10 (partial ratio 0.1); Autoimmune Dataset; CIFAR-100 (partial ratio 0.05),,0
Open-World Semi-Supervised Learning,,0,4,,,,0
Learning with coarse labels,,0,4,,,,0
Graph-to-Sequence,,0,4,,LDC2015E86:; WebNLG,,0
SSIM,,0,4,,DocUNet,,0
Compressive Sensing,,0,4,,BSD68 CS=50%; Urban100 - 2x upscaling; BSDS100 - 2x upscaling; Set5; Set11 cs=50%,,0
Matrix Completion,,0,4,,,,0
Room Layout Estimation,,0,4,,SUN RGB-D,,0
Cloze (multi-choices) (One-Shot),,0,4,,,,0
Disparity Estimation,,0,4,,Sintel 4D LFV - ambushfight5; Sintel 4D LFV - bamboo3; Sintel 4D LFV - shaman2; Sintel 4D LFV - thebigfight2,,0
STS,,0,4,,,,0
Meter Reading,,0,4,,UFPR-AMR Dataset; UFPR-AMR; Copel-AMR; UFPR-ADMR-v1,,0
Decision Making Under Uncertainty,,0,4,,,,0
Survival Analysis,,0,4,,,,0
Remaining Useful Lifetime Estimation,,0,4,,NASA C-MAPSS-2; NASA C-MAPSS,,0
Long-range modeling,,0,4,,,,0
Astronomy,,0,4,,BIG-bench,,0
Memorization,,0,4,,BIG-bench (Hindu Knowledge),,0
Columns Property Annotation,,0,4,,,,0
Persuasion Strategies,,0,4,,,,0
Human Behavior Forecasting,,0,4,,,,0
Temporal Sequences,,0,4,,,,0
Pansharpening,,0,4,,,,0
Model Poisoning,,0,3,,,,0
Sparse Learning and binarization,,0,3,,,,0
Sparse Learning,,0,3,,ImageNet; CINIC-10; ImageNet32,,0
OpenAI Gym,,0,3,,HalfCheetah-v2; CartPole-v1; MountainCarContinuous-v0; Walker2d-v2; Ant-v4; Humanoid-v2; InvertedDoublePendulum-v2; InvertedPendulum-v2; Walker2d-v4; Hopper-v2,,0
Unconstrained Lip-synchronization,,0,3,,,,0
Blood pressure estimation,,0,3,,Multi-day Continuous BP Prediction; MIMIC-III; VitalDB,,0
Dataset Distillation - 1IPC,,0,3,,,,0
Timex normalization,,0,3,,,,0
Continual Pretraining,,0,3,,AG News; ACL-ARC; SciERC,,0
Novel Class Discovery,,0,3,,cifar100; SVHN; cifar10,,0
ECG Patient Identification,,0,3,,,,0
ECG Patient Identification (gallery-probe),,0,3,,,,0
parameter-efficient fine-tuning,,0,3,,HellaSwag; WinoGrande; BoolQ,,0
Skills Assessment,,0,3,,Multimodal PISA,,0
Skills Evaluation,,0,3,,eSports Sensors Dataset,,0
Cloud Removal,,0,3,,,,0
Cross-Modal  Person Re-Identification,,0,3,,,,0
Combinatorial Optimization,,0,3,,,,0
Graph Sampling,,0,3,,,,0
One-class classifier,,0,3,,,,0
Art Analysis,,0,3,,,,0
Mathematical Proofs,,0,3,,,,0
Efficient Exploration,,0,3,,,,0
Relation Linking,,0,3,,,,0
Large-Scale Person Re-Identification,,0,3,,,,0
Human Mesh Recovery,,0,3,,BEDLAM,,0
Hyperparameter Optimization,,0,3,,,,0
Radar odometry,,0,3,,Oxford Radar RobotCar Dataset,,0
Privacy Preserving Deep Learning,,0,3,,,,0
Multi-target regression,,0,3,,Google 5 qubit random Hamiltonian,,0
Ensemble Learning,,0,3,,SMS Spam Collection Data Set,,0
Heart Rate Variability,,0,3,,,,0
Drum Transcription,,0,3,,,,0
Diabetic Retinopathy Grading,,0,3,,Kaggle EyePACS,,0
News Annotation,,0,3,,,,0
Network Community Partition,,0,3,,,,0
Parking Space Occupancy,,0,3,,ACMPS; Action-Camera Parking; CNRPark+EXT; SPKL; PKLot,,0
Blocking,,0,3,,,,0
Riddle Sense,,0,3,,,,0
High School Mathematics,,0,3,,,,0
Professional Psychology,,0,3,,BIG-bench,,0
Eeg Decoding,,0,3,,CWL EEG/fMRI Dataset,,0
Malware Clustering,,0,3,,,,0
Malware Analysis,,0,3,,,,0
Referring Expression,,0,3,,SQA3D,,0
Symbolic Regression,,0,3,,,,0
Explainable Models,,0,3,,,,0
Multi-Domain Recommender Systems,,0,3,,,,0
Brain Decoding,,0,3,,Stanford ECoG library: ECoG to Finger Movements; BCI Competition IV: ECoG to Finger Movements,,0
Website Fingerprinting Attacks,,0,3,,Website Traffic Data on Tor,,0
Plant Phenotyping,,0,3,,,,0
Feedback Vertex Set (FVS),,0,3,,,,0
MuJoCo Games,,0,3,,InvertedPendulum; Walker2d-v3; HalfCheetah; Point Maze; Humanoid-v3; Humanoid-v2; Swimmer; Hopper; HalfCHeetah-v3; Ant,,0
Snow Removal,,0,3,,,,0
Game of Sudoku,,0,3,,Sudoku 9x9,,0
Hate Span Identification,,0,3,,,,0
Hallucination Evaluation,,0,3,,,,0
Theory of Mind Modeling,,0,3,,,,0
Anomaly Forecasting,,0,3,,,,0
LLM Jailbreak,,0,3,,,,0
Deep Clustering,,0,2,,USPS; Coil-20; Stackoverflow; MNIST; Searchsnippets,,0
Hard-label Attack,,0,2,,,,0
Nature-Inspired Optimization Algorithm,,0,2,,CIFAR-10; MNIST,,0
TAG,,0,2,,,,0
Interpretability Techniques for Deep Learning,,0,2,,CelebA; CausalGym,,0
QQP,,0,2,,,,0
Feature Upsampling,,0,2,,,,0
Missing Elements,,0,2,,,,0
Horizon Line Estimation,,0,2,,Horizon Lines in the Wild; York Urban Dataset; Eurasian Cities Dataset; KITTI Horizon,,0
Dense Captioning,,0,2,,Visual Genome,,0
Defocus Estimation,,0,2,,CUHK - Blur Detection Dataset,,0
FLUE,,0,2,,,,0
Steering Control,,0,2,,,,0
Boundary Captioning,,0,2,,,,0
Boundary Grounding,,0,2,,,,0
Domain-IL Continual Learning,,0,2,,,,0
Provable Adversarial Defense,,0,2,,,,0
Clean-label Backdoor Attack (0.05%),,0,2,,,,0
Test Agnostic Long-Tailed Learning,,0,2,,,,0
STS Benchmark,,0,2,,,,0
Total Magnetization,,0,2,,,,0
Unsupervised Continual Domain Shift Learning,,0,2,,,,0
MuJoCo,,0,2,,,,0
Incremental Constrained Clustering,,0,2,,,,0
Q-Learning,,0,2,,,,0
Test-time Adaptation,,0,2,,,,0
Cross-Modality Person Re-identification,,0,2,,,,0
Point Cloud Super Resolution,,0,2,,PU-GAN; SHREC15,,0
Information Threading,,0,2,,,,0
Deep Attention,,0,2,,,,0
Authorship Verification,,0,2,,,,0
Accident Anticipation,,0,2,,,,0
Entity Embeddings,,0,2,,,,0
Dominance Estimation,,0,2,,,,0
Hierarchical Reinforcement Learning,,0,2,,Ant + Maze,,0
graph partitioning,,0,2,,custom,,0
Policy Gradient Methods,,0,2,,,,0
Meta Reinforcement Learning,,0,2,,,,0
Board Games,,0,2,,,,0
Self-Supervised Person Re-Identification,,0,2,,,,0
Multi-Goal Reinforcement Learning,,0,2,,no extra data,,0
Clustering Ensemble,,0,2,,,,0
Point Clouds,,0,2,,DTU; Tanks and Temples,,0
Dial Meter Reading,,0,2,,,,0
No real Data Binarization,,0,2,,,,0
Behavioural cloning,,0,2,,,,0
Relational Pattern Learning,,0,2,,,,0
Human Dynamics,,0,2,,,,0
Author Attribution,,0,2,,,,0
ICU Mortality,,0,2,,,,0
Popularity Forecasting,,0,2,,,,0
Cloze Test,,0,2,,CodeXGLUE - CT-all; CodeXGLUE - CT-maxmin,,0
Moment Queries,,0,2,,,,0
Unsupervised Reinforcement Learning,,0,2,,,,0
Linear evaluation,,0,2,,,,0
Story Completion,,0,2,,,,0
Multi-Armed Bandits,,0,2,,Mushroom,,0
Molecule Captioning,,0,2,,ChEBI-20; L+M-24,,0
Aggression Identification,,0,2,,,,0
Irony Identification,,0,2,,,,0
Moral Scenarios,,0,2,,,,0
Computer Security,,0,2,,BIG-bench,,0
Security Studies,,0,2,,BIG-bench,,0
Multi-Agent Path Finding,,0,2,,,,0
Record linking,,0,2,,,,0
Multi-agent Integration,,0,2,,BBAI Dataset,,0
De-identification,,0,2,,,,0
Unsupervised Domain Expansion,,0,2,,,,0
Automated Essay Scoring,,0,2,,ASAP-AES,,0
Traffic Data Imputation,,0,2,,,,0
Overall - Test,,0,2,,,,0
Variable Disambiguation,,0,2,,,,0
Embeddings Evaluation,,0,2,,,,0
Multimodal Association,,0,2,,,,0
Seeing Beyond the Visible,,0,2,,KITTI360-EX; HYPERVIEW,,0
Flare Removal,,0,2,,,,0
Website Fingerprinting Defense,,0,2,,Website Traffic Data on Tor,,0
ValNov,,0,2,,ValNov Subtask A; ValNov Subtask B,,0
Load Forecasting,,0,2,,,,0
Spatio-Temporal Forecasting,,0,2,,,,0
Protein Annotation,,0,2,,,,0
slot-filling,,0,2,,,,0
Ethics,,0,2,,Ethics; Ethics (per ethics),,0
Dynamic Point Removal,,0,2,,semi-indoor; Argoverse 2,,0
PAIR TRADING,,0,2,,,,0
Irregular Time Series,,0,2,,,,0
Age and Gender Estimation,,0,2,,LAGENDA gender; LAGENDA age,,0
Mathematical Problem-Solving,,0,2,,,,0
Sensor Fusion,,0,2,,,,0
Negation,,0,2,,,,0
Human Judgment Correlation,,0,2,,Flickr8k-Expert; Flickr8k-CF,,0
Kinship Verification,,0,2,,KinFaceW-I; KinFaceW-II,,0
Position regression,,0,2,,,,0
SAXS regression,,0,2,,,,0
XRD regression,,0,2,,,,0
SANS regression,,0,2,,,,0
ND regression,,0,2,,,,0
Neutron PDF regression,,0,2,,,,0
NMT,,0,2,,,,0
Sports Analytics,,0,2,,,,0
RTE,,0,2,,,,0
Lung Cancer Diagnosis,,0,2,,,,0
Collision Avoidance,,0,2,,A Ball Collision Dataset (ABCD),,0
Modality completion,,0,2,,,,0
Hybrid Machine Learning,,0,2,,,,0
Raindrop Removal,,0,2,,,,0
backdoor defense,,0,2,,,,0
User Simulation,,0,2,,,,0
Fault Diagnosis,,0,2,,Digital twin-supported deep learning for fault diagnosis,,0
Unsupervised MNIST,,0,1,,,,0
Rotated MNIST,,0,1,,Rotated MNIST,,0
Adversarial Defense against FGSM Attack,,0,1,,,,0
Türkçe Görüntü Altyazılama,,0,1,,,,0
HairColor/Unbiased,,0,1,,,,0
HeavyMakeup/Unbiased,,0,1,,,,0
Lexical Simplification,,0,1,,,,0
Gait Identification,,0,1,,,,0
Online Clustering,,0,1,,,,0
Long-tail Learning on CIFAR-10-LT (ρ=100),,0,1,,,,0
ROLSSL-Consistent,,0,1,,,,0
ROLSSL-Reversed,,0,1,,,,0
ROLSSL-Uniform,,0,1,,,,0
Class Incremental Learning,,0,1,,Cifar100-B0(10 tasks)-no-exemplars; CIFAR100-B0(50 tasks)-no-exemplars; cifar100; CIFAR-100 - 50 classes + 10 steps of 5 classes; Cifar100-B0(20 tasks)-no-exemplars; CIFAR-100 - 50 classes + 5 steps of 10 classes,,0
Non-exemplar-based Class Incremental Learning,,0,1,,,,0
Data Free Quantization,,0,1,,,,0
Classifier calibration,,0,1,,,,0
class-incremental learning,,0,1,,cifar100,,0
Overlapped 100-50,,0,1,,,,0
Overlapped 50-50,,0,1,,,,0
Overlapped 100-10,,0,1,,,,0
Overlapped 100-5,,0,1,,,,0
Overlapped 25-25,,0,1,,,,0
NMR J-coupling,,0,1,,,,0
Race/Unbiased,,0,1,,,,0
Age/Unbiased,,0,1,,,,0
Surgical Skills Evaluation,,0,1,,JIGSAWS; MISTIC-SIL,,0
Outdoor Light Source Estimation,,0,1,,,,0
Materials Screening,,0,1,,,,0
Cadenza 1 - Task 1 - Headphone,,0,1,,,,0
Parallel Corpus Mining,,0,1,,,,0
Story Continuation,,0,1,,PororoSV; VIST; FlintstonesSV,,0
NetHack Score,,0,1,,,,0
MS-SSIM,,0,1,,,,0
Local Distortion,,0,1,,DocUNet,,0
SENTS,,0,1,,,,0
MORPH,,0,1,,,,0
UNLABELED_DEPENDENCIES,,0,1,,,,0
LABELED_DEPENDENCIES,,0,1,,,,0
LEMMA,,0,1,,,,0
Informativeness,,0,1,,,,0
COVID-19 Modelling,,0,1,,,,0
Question Rewriting,,0,1,,,,0
HTR,,0,1,,,,0
GPR,,0,1,,,,0
Montezuma's Revenge,,0,1,,,,0
Cadenza 1 - Task 2 - In Car,,0,1,,,,0
Overlapped 10-1,,0,1,,,,0
Domain 11-5,,0,1,,,,0
Domain 11-1,,0,1,,,,0
Domain 1-1,,0,1,,,,0
Overlapped 14-1,,0,1,,,,0
CARLA MAP Leaderboard,,0,1,,,,0
CARLA longest6,,0,1,,CARLA,,0
CARLA Leaderboard 2.0,,0,1,,,,0
Uncropping,,0,1,,Places2 val,,0
Distributed Computing,,0,1,,,,0
Game of Doom,,0,1,,,,0
Continuous Control (100k environment steps),,0,1,,,,0
Continuous Control (500k environment steps),,0,1,,,,0
SNES Games,,0,1,,,,0
D4RL,,0,1,,,,0
Gym halfcheetah-random,,0,1,,,,0
